Model,Checkpoint,Task,Metric,Run 1,Run 2,Run 3,Average,Task_family,Percentage,olmo-params,Flops
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,cruxeval_o_adv_OLMo-2-0325-32B-89pct,"pass@1,create_test",0.0082304526748971,0.0082304526748971,0.0082304526748971,0.0082304526748971,cruxeval_o_adv,0.89,32,6.932721024999885
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,gsm8k-platinum_adv_OLMo-2-0325-32B-89pct,"exact_match,flexible-extract",0.02,0.02,0.02,0.02,gsm8k-platinum_adv,0.89,32,6.932721024999885
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,gsm8k_adv_OLMo-2-0325-32B-89pct,"exact_match,flexible-extract",0.0147058823529411,0.0147058823529411,0.0147058823529411,0.0147058823529411,gsm8k_adv,0.89,32,6.932721024999885
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,triviaqa_adv_OLMo-2-0325-32B-89pct,"exact_match,none",0.0,0.0,0.0,0.0,triviaqa_adv,0.89,32,6.932721024999885
OLMo-2-0325-32B,OLMo-2-0325-32B-89pct,triviaqa_adv_OLMo-2-0325-32B-89pct,"answer_exists,none",0.0,0.0,0.0,0.0,triviaqa_adv,0.89,32,6.932721024999885
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,bbh_adv_OLMo-2-0325-32B-9pct,"exact_match,get-answer",0.0051020408163265,0.0051020408163265,0.0051020408163265,0.0051020408163265,bbh_adv,0.09,32,4.641309232603964
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,cruxeval_i_adv_OLMo-2-0325-32B-9pct,"pass@1,create_test",0.011049723756906,0.011049723756906,0.011049723756906,0.011049723756906,cruxeval_i_adv,0.09,32,4.641309232603964
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,cruxeval_o_adv_OLMo-2-0325-32B-9pct,"pass@1,create_test",0.0,0.0,0.0,0.0,cruxeval_o_adv,0.09,32,4.641309232603964
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,gsm8k-platinum_adv_OLMo-2-0325-32B-9pct,"exact_match,flexible-extract",0.0,0.02,0.02,0.0133333333333333,gsm8k-platinum_adv,0.09,32,4.641309232603964
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,gsm8k_adv_OLMo-2-0325-32B-9pct,"exact_match,flexible-extract",0.0,0.0147058823529411,0.0,0.0049019607843137,gsm8k_adv,0.09,32,4.641309232603964
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,triviaqa_adv_OLMo-2-0325-32B-9pct,"exact_match,none",0.0,0.0,0.0,0.0,triviaqa_adv,0.09,32,4.641309232603964
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,triviaqa_adv_OLMo-2-0325-32B-9pct,"answer_exists,none",0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,triviaqa_adv,0.09,32,4.641309232603964
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,bbh_adv_OLMo-2-1124-13B-100pct,"exact_match,get-answer",0.0030364372469635,0.0030364372469635,0.0030364372469635,0.0030364372469635,bbh_adv,1.0,13,5.966146739123692
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,cruxeval_i_adv_OLMo-2-1124-13B-100pct,"pass@1,create_test",0.0153846153846153,0.0153846153846153,0.0153846153846153,0.0153846153846153,cruxeval_i_adv,1.0,13,5.966146739123692
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,cruxeval_o_adv_OLMo-2-1124-13B-100pct,"pass@1,create_test",0.0063897763578274,0.0063897763578274,0.0063897763578274,0.0063897763578274,cruxeval_o_adv,1.0,13,5.966146739123692
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,gsm8k-platinum_adv_OLMo-2-1124-13B-100pct,"exact_match,flexible-extract",0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,gsm8k-platinum_adv,1.0,13,5.966146739123692
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,gsm8k_adv_OLMo-2-1124-13B-100pct,"exact_match,flexible-extract",0.0155038759689922,0.0155038759689922,0.0155038759689922,0.0155038759689922,gsm8k_adv,1.0,13,5.966146739123692
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,triviaqa_adv_OLMo-2-1124-13B-100pct,"exact_match,none",0.0,0.0,0.0,0.0,triviaqa_adv,1.0,13,5.966146739123692
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,triviaqa_adv_OLMo-2-1124-13B-100pct,"answer_exists,none",0.0120481927710843,0.0120481927710843,0.0120481927710843,0.0120481927710843,triviaqa_adv,1.0,13,5.966146739123692
