Model,Checkpoint,Task,Metric,Run 1,Run 2,Run 3,Average,Percentage,olmo-params,Flops
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,gsm8k_adv,"exact_match,flexible-extract",0.0426681367144432,0.0421168687982359,0.0426681367144432,0.0424843807423741,0.09,32,4.641309232603964
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,triviaqa_adv,"exact_match,none",0.066531577169875,0.0661938534278959,0.0658561296859169,0.0661938534278959,0.09,32,4.641309232603964
OLMo-2-0325-32B,OLMo-2-0325-32B-9pct,triviaqa_adv,"answer_exists,none",0.0871327254305977,0.0861195542046605,0.0857818304626815,0.0863447033659799,0.09,32,4.641309232603964
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,bbh_adv,"exact_match,get-answer",0.0833973275994471,0.0835509138381201,0.0837045000767931,0.0835509138381201,1.0,13,5.966146739123692
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,cruxeval_i_adv,"pass@1,create_test",0.0429752066115702,0.0429752066115702,0.0446280991735537,0.043526170798898,1.0,13,5.966146739123692
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,cruxeval_o_adv,"pass@1,create_test",0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,1.0,13,5.966146739123692
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.064210142283838,0.0646965827556852,0.064818192873647,0.0645749726377234,1.0,13,5.966146739123692
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,gsm8k_adv,"exact_match,flexible-extract",0.0632855567805953,0.0632855567805953,0.0631753031973539,0.0632488055861815,1.0,13,5.966146739123692
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,triviaqa_adv,"exact_match,none",0.0354609929078014,0.0351232691658223,0.0354609929078014,0.0353484183271417,1.0,13,5.966146739123692
OLMo-2-1124-13B,OLMo-2-1124-13B-100pct,triviaqa_adv,"answer_exists,none",0.044241810199257,0.0439040864572779,0.044579533941236,0.044241810199257,1.0,13,5.966146739123692
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,bbh_adv,"exact_match,get-answer",0.0193518660727998,0.0191982798341268,0.0193518660727998,0.0193006706599088,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,cruxeval_i_adv,"pass@1,create_test",0.0033057851239669,0.0033057851239669,0.0033057851239669,0.0033057851239669,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,cruxeval_o_adv,"pass@1,create_test",0.0596590909090909,0.0596590909090909,0.0596590909090909,0.0596590909090909,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.053022011431351,0.0532652316672747,0.0529004013133892,0.0530625481373383,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,gsm8k_adv,"exact_match,flexible-extract",0.0551267916207276,0.0556780595369349,0.0551267916207276,0.0553105475927967,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,triviaqa_adv,"exact_match,none",0.0482944951030057,0.0486322188449848,0.0482944951030057,0.0484070696836654,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-17pct,triviaqa_adv,"answer_exists,none",0.0685579196217494,0.0695710908476865,0.0692333671057075,0.0691207925250478,0.17,13,4.194189897191817
OLMo-2-1124-13B,OLMo-2-1124-13B-20pct,bbh_adv,"exact_match,get-answer",0.0814007064966979,0.0807863615420058,0.0812471202580248,0.0811447294322428,0.2,13,4.356708826689592
OLMo-2-1124-13B,OLMo-2-1124-13B-20pct,cruxeval_i_adv,"pass@1,create_test",0.0181818181818181,0.0198347107438016,0.0198347107438016,0.0192837465564738,0.2,13,4.356708826689592
OLMo-2-1124-13B,OLMo-2-1124-13B-20pct,cruxeval_o_adv,"pass@1,create_test",0.0326704545454545,0.03125,0.0326704545454545,0.0321969696969696,0.2,13,4.356708826689592
OLMo-2-1124-13B,OLMo-2-1124-13B-20pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.0587376869755563,0.0591025173294418,0.0589809072114799,0.0589403705054927,0.2,13,4.356708826689592
OLMo-2-1124-13B,OLMo-2-1124-13B-20pct,gsm8k_adv,"exact_match,flexible-extract",0.057883131201764,0.0581036383682469,0.0576626240352811,0.057883131201764,0.2,13,4.356708826689592
OLMo-2-1124-13B,OLMo-2-1124-13B-20pct,triviaqa_adv,"exact_match,none",0.0432286389733198,0.0425531914893617,0.0432286389733198,0.0430034898120004,0.2,13,4.356708826689592
OLMo-2-1124-13B,OLMo-2-1124-13B-20pct,triviaqa_adv,"answer_exists,none",0.0516717325227963,0.0506585612968591,0.0523471800067544,0.0515591579421366,0.2,13,4.356708826689592
OLMo-2-1124-13B,OLMo-2-1124-13B-30pct,bbh_adv,"exact_match,get-answer",0.0387037321455997,0.0388573183842727,0.0394716633389648,0.0390109046229457,0.3,13,4.762173934797756
OLMo-2-1124-13B,OLMo-2-1124-13B-30pct,cruxeval_i_adv,"pass@1,create_test",0.0181818181818181,0.0181818181818181,0.0181818181818181,0.0181818181818181,0.3,13,4.762173934797756
OLMo-2-1124-13B,OLMo-2-1124-13B-30pct,cruxeval_o_adv,"pass@1,create_test",0.0170454545454545,0.0170454545454545,0.0170454545454545,0.0170454545454545,0.3,13,4.762173934797756
OLMo-2-1124-13B,OLMo-2-1124-13B-30pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.0575215857959382,0.0575215857959382,0.0577648060318618,0.0576026592079127,0.3,13,4.762173934797756
OLMo-2-1124-13B,OLMo-2-1124-13B-30pct,gsm8k_adv,"exact_match,flexible-extract",0.0589856670341786,0.0593164277839029,0.0594266813671444,0.0592429253950753,0.3,13,4.762173934797756
OLMo-2-1124-13B,OLMo-2-1124-13B-30pct,triviaqa_adv,"exact_match,none",0.039175954069571,0.0395136778115501,0.0385005065856129,0.0390633794889114,0.3,13,4.762173934797756
OLMo-2-1124-13B,OLMo-2-1124-13B-30pct,triviaqa_adv,"answer_exists,none",0.0587639311043566,0.0594393785883147,0.0574130361364403,0.0585387819430372,0.3,13,4.762173934797756
OLMo-2-1124-13B,OLMo-2-1124-13B-40pct,bbh_adv,"exact_match,get-answer",0.052372907387498,0.052526493626171,0.0526800798648441,0.052526493626171,0.4,13,5.049856007249537
OLMo-2-1124-13B,OLMo-2-1124-13B-40pct,cruxeval_i_adv,"pass@1,create_test",0.028099173553719,0.0297520661157024,0.0297520661157024,0.0292011019283746,0.4,13,5.049856007249537
OLMo-2-1124-13B,OLMo-2-1124-13B-40pct,cruxeval_o_adv,"pass@1,create_test",0.0951704545454545,0.096590909090909,0.09375,0.0951704545454545,0.4,13,5.049856007249537
OLMo-2-1124-13B,OLMo-2-1124-13B-40pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.064210142283838,0.0634804815760671,0.064210142283838,0.0639669220479143,0.4,13,5.049856007249537
OLMo-2-1124-13B,OLMo-2-1124-13B-40pct,gsm8k_adv,"exact_match,flexible-extract",0.0654906284454244,0.0649393605292172,0.0650496141124586,0.0651598676957001,0.4,13,5.049856007249537
OLMo-2-1124-13B,OLMo-2-1124-13B-40pct,triviaqa_adv,"exact_match,none",0.028031070584262,0.028031070584262,0.028031070584262,0.028031070584262,0.4,13,5.049856007249537
OLMo-2-1124-13B,OLMo-2-1124-13B-40pct,triviaqa_adv,"answer_exists,none",0.0428909152313407,0.0428909152313407,0.0428909152313407,0.0428909152313407,0.4,13,5.049856007249537
OLMo-2-1124-13B,OLMo-2-1124-13B-50pct,bbh_adv,"exact_match,get-answer",0.0675779450161265,0.0675779450161265,0.0680387037321456,0.0677315312547995,0.5,13,5.272999558563747
OLMo-2-1124-13B,OLMo-2-1124-13B-50pct,cruxeval_i_adv,"pass@1,create_test",0.0231404958677685,0.0231404958677685,0.0231404958677685,0.0231404958677685,0.5,13,5.272999558563747
OLMo-2-1124-13B,OLMo-2-1124-13B-50pct,cruxeval_o_adv,"pass@1,create_test",0.0198863636363636,0.0198863636363636,0.0198863636363636,0.0198863636363636,0.5,13,5.272999558563747
OLMo-2-1124-13B,OLMo-2-1124-13B-50pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.0493737078924966,0.0490088775386112,0.0498601483643439,0.0494142445984839,0.5,13,5.272999558563747
OLMo-2-1124-13B,OLMo-2-1124-13B-50pct,gsm8k_adv,"exact_match,flexible-extract",0.0469680264608599,0.0469680264608599,0.0471885336273428,0.0470415288496876,0.5,13,5.272999558563747
OLMo-2-1124-13B,OLMo-2-1124-13B-50pct,triviaqa_adv,"exact_match,none",0.0327592029719689,0.0324214792299898,0.0320837554880108,0.0324214792299898,0.5,13,5.272999558563747
OLMo-2-1124-13B,OLMo-2-1124-13B-50pct,triviaqa_adv,"answer_exists,none",0.0401891252955082,0.0395136778115501,0.0395136778115501,0.0397388269728695,0.5,13,5.272999558563747
OLMo-2-1124-13B,OLMo-2-1124-13B-60pct,bbh_adv,"exact_match,get-answer",0.0288742128705268,0.0287206266318537,0.0288742128705268,0.0288230174576357,0.6,13,5.455321115357702
OLMo-2-1124-13B,OLMo-2-1124-13B-60pct,cruxeval_i_adv,"pass@1,create_test",0.0181818181818181,0.0181818181818181,0.0165289256198347,0.0176308539944903,0.6,13,5.455321115357702
OLMo-2-1124-13B,OLMo-2-1124-13B-60pct,cruxeval_o_adv,"pass@1,create_test",0.1960227272727272,0.1960227272727272,0.1917613636363636,0.1946022727272727,0.6,13,5.455321115357702
OLMo-2-1124-13B,OLMo-2-1124-13B-60pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.0655478535814179,0.0651830232275325,0.0653046333454943,0.0653451700514816,0.6,13,5.455321115357702
OLMo-2-1124-13B,OLMo-2-1124-13B-60pct,gsm8k_adv,"exact_match,flexible-extract",0.0642778390297684,0.0649393605292172,0.0640573318632855,0.0644248438074237,0.6,13,5.455321115357702
OLMo-2-1124-13B,OLMo-2-1124-13B-60pct,triviaqa_adv,"exact_match,none",0.0344478216818642,0.0344478216818642,0.0354609929078014,0.0347855454238432,0.6,13,5.455321115357702
OLMo-2-1124-13B,OLMo-2-1124-13B-60pct,triviaqa_adv,"answer_exists,none",0.0540357987166497,0.0543735224586288,0.0547112462006079,0.0543735224586288,0.6,13,5.455321115357702
OLMo-2-1124-13B,OLMo-2-1124-13B-70pct,bbh_adv,"exact_match,get-answer",0.0790969129166026,0.0797112578712947,0.0792504991552756,0.0793528899810577,0.7000000000000001,13,5.60947179518496
OLMo-2-1124-13B,OLMo-2-1124-13B-70pct,cruxeval_i_adv,"pass@1,create_test",0.1057851239669421,0.1024793388429752,0.109090909090909,0.1057851239669421,0.7000000000000001,13,5.60947179518496
OLMo-2-1124-13B,OLMo-2-1124-13B-70pct,cruxeval_o_adv,"pass@1,create_test",0.0894886363636363,0.0909090909090909,0.0894886363636363,0.0899621212121212,0.7000000000000001,13,5.60947179518496
OLMo-2-1124-13B,OLMo-2-1124-13B-70pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.0721147999513559,0.0719931898333941,0.0723580201872795,0.0721553366573432,0.7000000000000001,13,5.60947179518496
OLMo-2-1124-13B,OLMo-2-1124-13B-70pct,gsm8k_adv,"exact_match,flexible-extract",0.0680264608599779,0.0685777287761852,0.0680264608599779,0.068210216832047,0.7000000000000001,13,5.60947179518496
OLMo-2-1124-13B,OLMo-2-1124-13B-70pct,triviaqa_adv,"exact_match,none",0.0584262073623775,0.0577507598784194,0.0584262073623775,0.0582010582010582,0.7000000000000001,13,5.60947179518496
OLMo-2-1124-13B,OLMo-2-1124-13B-70pct,triviaqa_adv,"answer_exists,none",0.07193515704154,0.0712597095575819,0.072272880783519,0.0718225824608803,0.7000000000000001,13,5.60947179518496
OLMo-2-1124-13B,OLMo-2-1124-13B-80pct,bbh_adv,"exact_match,get-answer",0.083090155122101,0.083090155122101,0.083243741360774,0.083141350534992,0.8,13,5.7430031878094825
OLMo-2-1124-13B,OLMo-2-1124-13B-80pct,cruxeval_i_adv,"pass@1,create_test",0.0495867768595041,0.0479338842975206,0.0495867768595041,0.0490358126721763,0.8,13,5.7430031878094825
OLMo-2-1124-13B,OLMo-2-1124-13B-80pct,cruxeval_o_adv,"pass@1,create_test",0.1690340909090909,0.1676136363636363,0.1690340909090909,0.168560606060606,0.8,13,5.7430031878094825
OLMo-2-1124-13B,OLMo-2-1124-13B-80pct,gsm8k-platinum_adv,"exact_match,flexible-extract",0.0679800559406542,0.0676152255867688,0.0672503952328833,0.0676152255867688,0.8,13,5.7430031878094825
